1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
1.027043 1.026951 1.026677 1.026218 1.025576 1.024747 1.023729 1.022519 1.021113 1.019502 1.017677 1.015622 1.013312 1.010708 1.007740 1.004271 1.000000 
1.052340 1.052158 1.051612 1.050700 1.049422 1.047774 1.045753 1.043354 1.040568 1.037383 1.033779 1.029728 1.025189 1.020094 1.014337 1.007738 1.000000 
1.075876 1.075605 1.074794 1.073440 1.071543 1.069100 1.066107 1.062557 1.058438 1.053736 1.048427 1.042475 1.035826 1.028403 1.020087 1.010703 1.000000 
1.097641 1.097286 1.096220 1.094442 1.091952 1.088747 1.084823 1.080174 1.074787 1.068647 1.061726 1.053987 1.045374 1.035804 1.025166 1.013300 1.000000 
1.117635 1.117199 1.115891 1.113712 1.110661 1.106736 1.101934 1.096249 1.089671 1.082184 1.073762 1.064366 1.053943 1.042416 1.029681 1.015600 1.000000 
1.135858 1.135347 1.133814 1.131260 1.127684 1.123087 1.117468 1.110821 1.103139 1.094407 1.084601 1.073688 1.061616 1.048318 1.033700 1.017643 1.000000 
1.152317 1.151737 1.149996 1.147095 1.143037 1.137822 1.131452 1.123923 1.115230 1.105361 1.094298 1.082009 1.068452 1.053564 1.037267 1.019455 1.000000 
1.167018 1.166374 1.164444 1.161230 1.156734 1.150959 1.143909 1.135582 1.125977 1.115086 1.102894 1.089375 1.074493 1.058195 1.040411 1.021051 1.000000 
1.179967 1.179267 1.177169 1.173674 1.168788 1.162514 1.154858 1.145823 1.135409 1.123612 1.110421 1.095818 1.079772 1.062237 1.043154 1.022442 1.000000 
1.191173 1.190424 1.188178 1.184438 1.179211 1.172501 1.164317 1.154663 1.143545 1.130961 1.116905 1.101363 1.084311 1.065711 1.045511 1.023638 1.000000 
1.200642 1.199851 1.197479 1.193531 1.188013 1.180932 1.172298 1.162120 1.150404 1.137152 1.122364 1.106030 1.088129 1.068632 1.047491 1.024642 1.000000 
1.208380 1.207555 1.205080 1.200960 1.195202 1.187817 1.178815 1.168205 1.155999 1.142201 1.126814 1.109831 1.091238 1.071009 1.049102 1.025459 1.000000 
1.214393 1.213541 1.210985 1.206731 1.200787 1.193164 1.183874 1.172929 1.160340 1.146117 1.130264 1.112778 1.093648 1.072851 1.050351 1.026092 1.000000 
1.218685 1.217813 1.215200 1.210850 1.204772 1.196979 1.187483 1.176298 1.163436 1.148910 1.132723 1.114878 1.095365 1.074163 1.051240 1.026543 1.000000 
