0.000000 -1.000000
0.012658 -0.482212
0.025316 -0.482212
0.037975 -0.481389
0.050633 -0.479745
0.063291 -0.477281
0.075949 -0.474004
0.088608 -0.469917
0.101266 -0.465028
0.113924 -0.459345
0.126582 -0.452878
0.139241 -0.445638
0.151899 -0.437637
0.164557 -0.428888
0.177215 -0.419407
0.189873 -0.409209
0.202532 -0.398312
0.215190 -0.386734
0.227848 -0.374496
0.240506 -0.361617
0.253165 -0.348119
0.265823 -0.334026
0.278481 -0.319362
0.291139 -0.304152
0.303797 -0.288421
0.316456 -0.272196
0.329114 -0.255505
0.341772 -0.238377
0.354430 -0.220841
0.367089 -0.202926
0.379747 -0.184664
0.392405 -0.166086
0.405063 -0.147222
0.417722 -0.128107
0.430380 -0.108772
0.443038 -0.089251
0.455696 -0.069576
0.468354 -0.049783
0.481013 -0.029904
0.493671 -0.009974
0.506329 0.009974
0.518987 0.029904
0.531646 0.049783
0.544304 0.069576
0.556962 0.089251
0.569620 0.108772
0.582278 0.128107
0.594937 0.147222
0.607595 0.166086
0.620253 0.184664
0.632911 0.202926
0.645570 0.220841
0.658228 0.238377
0.670886 0.255505
0.683544 0.272196
0.696203 0.288421
0.708861 0.304152
0.721519 0.319362
0.734177 0.334026
0.746835 0.348119
0.759494 0.361617
0.772152 0.374496
0.784810 0.386734
0.797468 0.398312
0.810127 0.409209
0.822785 0.419407
0.835443 0.428888
0.848101 0.437637
0.860759 0.445638
0.873418 0.452878
0.886076 0.459345
0.898734 0.465028
0.911392 0.469917
0.924051 0.474004
0.936709 0.477281
0.949367 0.479745
0.962025 0.481389
0.974684 0.482212
0.987342 0.482212
1.000000 1.000000
